responseid,set,block,consent,domain,counts,obj1,obj2,obj3,obj4,obj5,obj1_text,obj2_text,obj3_text,obj4_text,obj5_text,choice,expdur,intdur,feedback
6,1,214,1,18,4,5,3,2,4,,http://choicestudies.com/img/Surveys/montreal/scatterplot/5.png,http://choicestudies.com/img/Surveys/montreal/scatterplot/3.png,http://choicestudies.com/img/Surveys/montreal/scatterplot/2.png,http://choicestudies.com/img/Surveys/montreal/scatterplot/4.png,,1,27000,9.95,
6,2,214,1,3,2,1,4,,,,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,,,,2,18000,9.95,
6,3,214,1,22,5,3,4,2,1,5,$15.00,$14.00,$13.00,$9.00,$15.00,3,36000,9.95,
6,4,214,1,2,3,5,3,4,,,Julianne Moore,Kathy Bates,Amy Adams,,,3,8000,9.95,
6,5,214,1,27,2,1,4,,,,"1GB data per month, $35 per month","6GB data per month, $54 per month",,,,2,38000,9.95,
6,6,214,1,32,3,1,3,4,,,90,35,10,,,2,26000,9.95,
6,7,214,1,16,5,3,1,5,2,4,Possession would be illegal but not criminal; all sales would be a criminal offense,"Possession by, and sales to, adults would be both legal; sales to minors would be a criminal offence","Possession and sales would be criminal offenses, without exception","Possession by, and sales to, adults would be both illegal but neither would be a criminal offense; sales to minors would be a criminal offence","Possession and sales would be criminal offenses, with a small number of medical exceptions",5,26000,9.95,
6,8,214,1,6,3,5,1,4,,,Pineapple,Mango,Grapefruit,,,1,6000,9.95,
6,9,214,1,30,3,1,2,4,,,Sharp,Insignia,Samsung,,,3,23000,9.95,
6,10,214,1,20,2,4,3,,,,Nigeria,Pakistan,,,,2,12000,9.95,
6,11,214,1,28,2,5,2,,,,"4.8/5 stars, $406 per night","3.9/5 stars, $263 per night",,,,2,10000,9.95,
6,12,214,1,31,4,1,5,4,2,,18.71,13.46,12.35,9.99,,3,19000,9.95,
6,13,214,1,17,4,5,1,2,3,,"Seattle, United States","Warsaw, Poland","London, United Kingdom","Vancouver, Canada",,2,16000,9.95,
6,14,214,1,29,4,1,2,3,5,,1:30,3:15,2:15,2:45,,4,21000,9.95,
6,15,214,1,9,2,4,2,,,,Scotland and Quebec become independent countries,Either Catalonia or Quebec become independent countries,,,,1,10000,9.95,
6,16,214,1,15,2,2,1,,,,http://choicestudies.com/img/Surveys/montreal/travel/2.jpg,http://choicestudies.com/img/Surveys/montreal/travel/1.jpg,,,,1,6000,9.95,
6,17,214,1,4,2,5,4,,,,Tom Hanks and Angelina Jolie,Scarlett Johansson and Angelina Jolie,,,,1,6000,9.95,
6,18,214,1,19,3,4,1,2,,,http://choicestudies.com/img/Surveys/montreal/triangles/4.png,http://choicestudies.com/img/Surveys/montreal/triangles/1.png,http://choicestudies.com/img/Surveys/montreal/triangles/2.png,,,1,21000,9.95,
6,19,214,1,8,3,4,1,2,,,Blue and red,Black and red,Black and purple,,,3,12000,9.95,
6,20,214,1,23,2,1,3,,,,60,70,,,,2,20000,9.95,
6,21,214,1,12,2,4,2,,,,http://choicestudies.com/img/Surveys/montreal/aboriginal/4.png,http://choicestudies.com/img/Surveys/montreal/aboriginal/2.png,,,,2,10000,9.95,
6,22,214,1,14,2,1,2,,,,Who did Bill buy the car to please?,This is a book which reading would be fun.,,,,1,23000,9.95,
6,23,214,1,1,2,1,5,,,,Tom Hanks,Christian Bale,,,,1,4000,9.95,
6,24,214,1,13,2,1,2,,,,http://choicestudies.com/img/Surveys/montreal/impressionist/1.jpg,http://choicestudies.com/img/Surveys/montreal/impressionist/2.jpg,,,,1,11000,9.95,
6,25,214,1,10,3,3,2,5,,,"Classic Hits (Rock and pop, roughly 1964-1989)","Hot Adult Contemporary, or Hot AC (A variety of classic and contemporary mainstream music geared towards adults.)","Adult Contemporary, or AC (Adult-oriented pop/rock with no hard rock.)",,,2,10000,9.95,
6,26,214,1,7,2,2,4,,,,Purple,Blue,,,,2,6000,9.95,
6,27,214,1,21,2,2,3,,,,United States of America,China,,,,2,12000,9.95,
6,28,214,1,26,2,4,2,,,,$315 credited to your bank account in two years,$245 credited to your bank account in six months,,,,2,39000,9.95,
6,29,214,1,24,3,4,5,2,,,7,22,22,,,2,20000,9.95,hi
6,30,214,1,5,3,4,5,3,,,"Bacon, white onion, mozzarella, parmesan, fresh cream, tomato sauce, ground pepper","Mushrooms, green pepper, mozzarella, tomato sauce","Red onion, tomato sauce, feta, mozzarella, olive oil, Greek spices, tomato sauce",,,1,9000,9.95,
6,31,214,1,11,2,4,1,,,,Madonna,The Beatles,,,,1,4000,9.95,
6,32,214,1,25,3,5,1,3,,,2:30,4:00,3:15,,,3,19000,9.95,
7,1,655,1,29,2,5,3,,,,2:45,2:15,,,,1,107422,18.0667,Interesting survey.
7,2,655,1,6,3,2,1,3,,,Orange,Mango,Apple,,,2,72547,18.0667,Interesting survey.
7,3,655,1,20,2,1,4,,,,Indonesia,Nigeria,,,,1,5250,18.0667,Interesting survey.
7,4,655,1,4,2,3,2,,,,Tom Hanks and Brad Pitt,Scarlett Johansson and Brad Pitt,,,,2,10969,18.0667,Interesting survey.
7,5,655,1,2,2,5,3,,,,Julianne Moore,Kathy Bates,,,,1,5125,18.0667,Interesting survey.
7,6,655,1,23,4,4,1,5,2,,55,60,75,80,,2,153616,18.0667,Interesting survey.
7,7,655,1,7,4,2,4,3,1,,Purple,Blue,Pink,Red,,2,26312,18.0667,Interesting survey.
7,8,655,1,11,2,3,5,,,,Michael Jackson,Elton John,,,,1,5922,18.0667,Interesting survey.
7,9,655,1,9,3,1,5,4,,,Scotland becomes an independent country,Either Scotland or Quebec become independent countries,Scotland and Quebec become independent countries,,,2,4375,18.0667,Interesting survey.
7,10,655,1,8,4,5,1,2,4,,Blue and purple,Black and red,Black and purple,Blue and red,,1,68015,18.0667,Interesting survey.
7,11,655,1,14,2,4,3,,,,Which man do you wonder when to meet?,Where did Bill buy the car to drive?,,,,1,265673,18.0667,Interesting survey.
7,12,655,1,18,5,4,5,3,1,2,http://choicestudies.com/img/Surveys/montreal/scatterplot/4.png,http://choicestudies.com/img/Surveys/montreal/scatterplot/5.png,http://choicestudies.com/img/Surveys/montreal/scatterplot/3.png,http://choicestudies.com/img/Surveys/montreal/scatterplot/1.png,http://choicestudies.com/img/Surveys/montreal/scatterplot/2.png,5,10759,18.0667,Interesting survey.
7,13,655,1,5,2,4,3,,,,"Bacon, white onion, mozzarella, parmesan, fresh cream, tomato sauce, ground pepper","Red onion, tomato sauce, feta, mozzarella, olive oil, Greek spices, tomato sauce",,,,1,10610,18.0667,Interesting survey.
7,14,655,1,16,4,1,5,2,3,,"Possession by, and sales to, adults would be both legal; sales to minors would be a criminal offence","Possession and sales would be criminal offenses, without exception","Possession by, and sales to, adults would be both illegal but neither would be a criminal offense; sales to minors would be a criminal offence",Possession would be illegal but not criminal; all sales would be a criminal offense,,1,3797,18.0667,Interesting survey.
