"","participant","domain","Obj1","Obj2","Obj3","Obj4","Obj5","subset"
"1",1,22,"a","e","b","-","-","abe"
"2",1,16,"d","e","-","-","-","de"
"3",1,25,"a","d","c","-","-","acd"
"4",1,10,"b","e","-","-","-","be"
"5",1,7,"a","e","c","-","-","ace"
"6",1,32,"c","a","-","-","-","ac"
"7",1,14,"b","a","-","-","-","ab"
"8",1,3,"c","e","b","a","-","abce"
"9",1,27,"a","d","b","c","-","abcd"
"10",1,13,"b","d","a","e","-","abde"
"11",1,18,"b","a","e","-","-","abe"
"12",1,1,"c","b","a","d","-","abcd"
"13",1,4,"d","a","e","b","-","abde"
"14",1,6,"e","a","-","-","-","ae"
"15",1,2,"b","d","-","-","-","bd"
"16",1,20,"d","a","-","-","-","ad"
"17",1,11,"a","d","-","-","-","ad"
"18",1,23,"d","b","a","e","-","abde"
"19",1,31,"d","c","e","-","-","cde"
"20",1,24,"d","c","-","-","-","cd"
"21",1,21,"e","c","b","-","-","bce"
"22",1,8,"b","c","d","-","-","bcd"
"23",1,30,"c","e","b","d","-","bcde"
"24",1,9,"a","c","-","-","-","ac"
"25",1,28,"d","c","-","-","-","cd"
"26",1,19,"e","c","d","a","-","acde"
"27",1,15,"b","a","-","-","-","ab"
"28",1,17,"d","c","a","b","e","abcde"
"29",1,29,"d","a","b","e","-","abde"
"30",1,5,"a","c","-","-","-","ac"
"31",1,26,"d","b","e","-","-","bde"
"32",1,12,"d","e","-","-","-","de"
"33",2,31,"a","b","c","-","-","abc"
"34",2,3,"c","e","a","-","-","ace"
"35",2,8,"e","b","a","d","-","abde"
"36",2,18,"a","b","d","e","c","abcde"
"37",2,12,"b","a","-","-","-","ab"
"38",2,13,"e","a","d","-","-","ade"
"39",2,16,"b","d","-","-","-","bd"
"40",2,22,"c","b","-","-","-","bc"
"41",2,26,"b","a","-","-","-","ab"
"42",2,20,"a","e","d","-","-","ade"
"43",2,10,"b","e","-","-","-","be"
"44",2,1,"e","d","-","-","-","de"
"45",2,15,"d","a","-","-","-","ad"
"46",2,23,"a","b","-","-","-","ab"
"47",2,2,"e","b","-","-","-","be"
"48",2,7,"b","d","c","-","-","bcd"
"49",2,11,"a","c","e","b","-","abce"
"50",2,5,"b","a","-","-","-","ab"
